CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
2659;96;Participa siempre en actividades de clases y otros eventos de manera activa, ordenada  y productiva;;1;11;1-11;1;admin
2660;97;Demuestra respeto a las pertenencias ajenas y hacia los miembros de la comunidad educativa. Es tolerante con los demás. Manifiesta empatía con sus compañeras.;;1;11;1-11;1;admin
2661;97;Constantemente demuestra actitud de respeto hacia sí misma. Utiliza un vocabulario adecuado al dirigirse a los demás.;;1;11;1-11;1;admin
2662;96;Su comportamiento en actividades dentro y fuera de la institución es correcto.;;1;11;1-11;1;admin
2663;95;Hace uso del uniforme de manera correcta, tal como está descrito en el Manual de Convivencia;;1;11;1-11;1;admin
2664;97;Demuestra siempre honestidad en sus trabajos académicos, consigo mismo y con los demás.;;1;11;1-11;1;admin
2665;97;Asume responsabilidad por sus acciones y las consecuencias de sus actos;;1;11;1-11;1;admin
2666;97;Se relaciona con los demás de forma positiva y es una estudiante que ejerce buena influencia sobre las demás compañeras;;1;11;1-11;1;admin
2667;96;Hace buen uso del tiempo libre.;;1;11;1-11;1;admin
2668;97;Demuestra profundidad en sus reflexiones tiene una actitud  firme durante el proceso de aprendizaje.;;1;11;1-11;1;admin
2669;97; Es consciente de lo que debe mejorar y se esfuerza por lograrlo. Siempre responde de manera positiva y lo retroalimenta.;;1;11;1-11;1;admin
2670;96;Es una líder y contribuye de manera positiva a la comunidad educativa;;1;11;1-11;1;admin
2671;97;Reconoce acciones y actitudes negativas y se esfuerza por no repetirlas;;1;11;1-11;1;admin
2672;96;Cuida el aula de clase y los implementos que hay en la institución.;;1;11;1-11;1;admin
2673;98;Es respetuosa, receptiva y acepta las observaciones que se le hacen;;1;11;1-11;1;admin
2674;97;Es colaboradora y servicial  y lo hace de acuerdo a sus posibilidades.;;1;11;1-11;1;admin
2675;96;Manifiesta sentido de pertenencia por la institución.;;1;11;1-11;1;admin
