CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
1693;41;Comprende el sentido de las frases que se pronuncian en tono religioso. ;;0;0;0-0;0;admin
1694;41;Comprende el sentido y significado de  las representaciones de los objetos, signos y acciones de su entorno religioso.;;0;0;0-0;0;admin
1695;41;Identifica   los   objetos,   las acciones, las personas y los lugares que tienen relación con las narraciones bíblicas.;;0;0;0-0;0;admin
1696;41;Identifica los objetos, las acciones,  las personas,  los gestos y los lugares del ámbito de la liturgia y de las costumbres y prácticas religiosas.;;0;0;0-0;0;admin
1697;41;Identifica los objetos, las acciones,  las personas y los hechos  en  los  cuales se manifiestan conductas modelo de moral cristiana.;;0;0;0-0;0;admin
1698;42;Denomina con la expresión correcta los objetos,  las acciones,   las personas, los gestos y los lugares del ámbito de la  liturgia y costumbres y prácticas religiosas.;;0;0;0-0;0;admin
1699;42;Denomina con la  expresión correcta los objetos, acciones,  personas y hechos en los cuales se  manifiestan conductas   modelo   de   moral cristiana.;;0;0;0-0;0;admin
1700;42;Explica con sus propias palabras la relación que hay entre las narraciones bíblicas, los objetos y acciones litúrgicas y las conductas   modelo   de   moral cristiana.;;0;0;0-0;0;admin
1701;42;Explica con frases bíblicas, o  similares a las del Catecismo de la  Iglesia, o con sus propias palabras, el mensaje del  contenido de las narraciones bíblicas, los objetos y acciones litúrgicas y las  conductas modelo de moral cristiana.;;0;0;0-0;0;admin
1702;43;Asocia    las    narraciones bíblicas con los objetos, las acciones, las  personas y los lugares   de   su   entorno religioso familiar y eclesial.;;0;0;0-0;0;admin
1703;43;Asocia    los objetos, las acciones, las personas, los gestos y los lugares del ámbito de la liturgia de la Iglesia, con las  narraciones bíblicas de donde han brotado.;;0;0;0-0;0;admin
1704;43;Asocia las conductas modelo de   moral   cristiana   con acciones contenidas en las narraciones bíblicas y en la enseñanza de Jesús.;;0;0;0-0;0;admin
1705;43;Inspira su  comportamiento en el    sentido    de    los comportamientos de  moral cristiana, los objetos y las acciones litúrgicas que ha relacionado     con las narraciones bíblicas.;;0;0;0-0;0;admin
1706;41;Describe y reconoce por su nombre las diferentes manifestaciones de la vida.;;1;1;1-1;1;admin
1707;41;Identifica en manifestaciones  culturales y en hechos como la muerte, la forma como las personas de su entorno conciben la vida.;;1;1;1-1;1;admin
1708;41;Conoce las normas y acuerdos de convivencia escolar sobre protección y respeto de la vida. ;;1;1;1-1;1;admin
1709;41;Comprende el  concepto de     familia    como comunidad basada  en el matrimonio con la misión de cuidar la vida;;1;1;1-1;1;admin
1710;42;Explica  la  relación  entre familia,     matrimonio    y transmisión de la vida humana.;;1;1;1-1;1;admin
1711;42;Manifiesta por  medio de expresiones  culturales como la pintura, la literatura, la música, su forma de representar el universo y los seres vivos.;;1;1;1-1;1;admin
1712;42;Utiliza los diversos lenguajes para expresar lo que es la creación y las  formas de protección de la vida.;;1;1;1-1;1;admin
1713;43;Aprecia y valora su propia vida y la de los otros.;;1;1;1-1;1;admin
1714;43;Se interesa por estudiar los dinamismos de los seres vivos.;;1;1;1-1;1;admin
1715;43;Se admira ante el mundo de la vida.;;1;1;1-1;1;admin
1716;44;Confronta los conocimientos y los valores adquiridos en clase con la experiencia de la familia y la comunidad de pertenencia respecto a la protección de la vida.;;1;1;1-1;1;admin
1717;44;Es sensible e interesado por el cuidado de la vida.;;1;1;1-1;1;admin
1718;44;Proyecta acciones de cuidado al medio ambiente y al entorno escolar familiar y público.;;1;1;1-1;1;admin
1719;44;Denuncia atropellos al medio ambiente.;;1;1;1-1;1;admin
1720;41;Conoce el  significado de la fe  en Dios Padre como Creador, tal como es testimoniado en la  Biblia y en la  tradición de la Iglesia.;;1;1;1-1;1;admin
1721;41;Interpreta  manifestaciones culturales de tipo religioso sobre  Dios como Padre y  creador.;;1;1;1-1;1;admin
1722;41;Interpreta  expresiones de la fe en Dios como Padre y Creador, presentes  en el arte religioso.;;1;1;1-1;1;admin
