CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
1492;49;Exploro posibilidades de movimiento en mi cuerpo a nivel global y segmentario.;;1;3;1-3;1;admin
1493;49;Ubico mi cuerpo en el espacio y en relación con objetos.;;1;3;1-3;1;admin
1494;49;Exploro posibilidades de movimiento siguiendo ritmos de percusión y musicales diversos.;;1;3;1-3;1;admin
1495;49;Identifico variaciones en mi respiración en diferentes actividades físicas.;;1;3;1-3;1;admin
1496;49;Realizo distintas posturas en estado de quietud y en movimiento.;;1;3;1-3;1;admin
1497;49;Exploro formas básicas de movimiento y combinaciones con elementos y sin ellos.;;1;3;1-3;1;admin
1498;49;Exploro formas básicas de movimiento aplicados a formas y modalidades gimnásticas.;;1;3;1-3;1;admin
1499;49;Exploro técnicas corporales de tensión, relajación y control del cuerpo.;;1;3;1-3;1;admin
1500;49;Exploro la práctica de diferentes juegos deportivos individuales y grupales.;;1;3;1-3;1;admin
1501;49;Exploro diversidad de actividades físicas que estén de acuerdo con mis posibilidades.;;1;3;1-3;1;admin
1502;49;Exploro pruebas de medición de mis capacidades físicas y llevo registro de ellas.;;1;3;1-3;1;admin
1503;49;Exploro mis capacidades físicas en diversidad de juegos y actividades.;;1;3;1-3;1;admin
1504;49;Atiendo las indicaciones para realizar el calentamiento al iniciar y recuperación al finalizar la actividad física.;;1;3;1-3;1;admin
1505;49;Sigo orientaciones sobre hidratación, nutrición e higiene para el adecuado desarrollo de la actividad física.;;1;3;1-3;1;admin
1506;49;Exploro cambios fisiológicos que se presentan entre actividad física-pausa-actividad física.;;1;3;1-3;1;admin
1507;49;Resuelvo las diversas situaciones que el juego me presenta.;;1;3;1-3;1;admin
1508;49;Juego siguiendo las orientaciones que se me dan.;;1;3;1-3;1;admin
1509;49;Participo en los juegos individuales y colectivos propuestos en la clase.;;1;3;1-3;1;admin
1510;49;Juego de acuerdo con mis preferencias en el contexto escolar.;;1;3;1-3;1;admin
1511;49;Exploro el juego como un momento especial en la escuela.;;1;3;1-3;1;admin
1512;50;Exploro manifestaciones expresivas para comunicar mis emociones (tristeza, alegría, ira, entre otras) en situaciones de juego y actividad física.;;1;3;1-3;1;admin
1513;50;Exploro prácticas de tradición de danza y lúdicas de la familia.;;1;3;1-3;1;admin
1514;50;Exploro movimientos con diferentes ritmos musicales.;;1;3;1-3;1;admin
1515;50;Exploro gestos, representaciones y bailes.;;1;3;1-3;1;admin
1516;50;Expreso entusiasmo en las actividades propuestas en la clase.;;1;3;1-3;1;admin
1517;51;Aplico las recomendaciones sobre higiene corporal antes, durante y después de la actividad física.;;1;3;1-3;1;admin
1518;51;Atiendo las orientaciones sobre mi tiempo para jugar y realizar actividad física.;;1;3;1-3;1;admin
1519;51;Exploro juegos y actividad física de acuerdo con mi edad y mis posibilidades.;;1;3;1-3;1;admin
1520;51;Identifico mis capacidades cuando me esfuerzo en la actividad física.;;1;3;1-3;1;admin
1521;51;Atiendo las indicaciones del profesor sobre la forma correcta de realizar los ejercicios.;;1;3;1-3;1;admin
1522;49;Controlo de forma global y segmentaria la realización de movimientos técnicos.;;4;5;4-5;4;admin
1523;49;Aplico formas básicas de movimiento en la realización de diferentes prácticas deportivas.;;4;5;4-5;4;admin
1524;49;Identifico pruebas que me indiquen el estado de mis capacidades físicas y registro los resultados.;;4;5;4-5;4;admin
1525;49;Analizo diversas situaciones de juego y doy res puesta a ellas. Ajusto los movimientos de mi cuerpo en la manipulación de objetos.;;4;5;4-5;4;admin
1526;49;Cuido mi postura en la realización de diferentes prácticas y modalidades gimnásticas.;;4;5;4-5;4;admin
1527;49;Identifico mis capacidades físicas en la realización de ejercicios físicos y juegos.;;4;5;4-5;4;admin
1528;49;Acepto y pongo en práctica las reglas de juego.;;4;5;4-5;4;admin
1529;49;Controlo formas y duración de movimientos en rutinas rítmicas sencillas.;;4;5;4-5;4;admin
1530;49;Aplico técnicas de tensión, relajación y control del cuerpo.;;4;5;4-5;4;admin
1531;49;Identifico movimientos y actividades de calentamiento y recuperación en la actividad física.;;4;5;4-5;4;admin
1532;49;Reconozco a mis compañeros como co-constructores del juego.;;4;5;4-5;4;admin
1533;49;Relaciono variaciones en mi respiración en la actividad física y relajación.;;4;5;4-5;4;admin
1534;49; Aplico reglas sencillas en diferentes prácticas deportivas individuales y de grupo.;;4;5;4-5;4;admin
1535;49;Identifico hábitos  de comportamiento saludable para el adecuado desarrollo de la actividad física.;;4;5;4-5;4;admin
1536;49;Propongo momentos de juego en el espacio es colar.;;4;5;4-5;4;admin
1537;49;Realizo posturas corporales propias de las técnicas de movimiento.;;4;5;4-5;4;admin
1538;49;Propongo la realización de juegos y actividades física que practico en mi comunidad.;;4;5;4-5;4;admin
1539;49;Identifico los cambios fisiológicos que se presentan entre actividad física-pausa-actividad física.;;4;5;4-5;4;admin
1540;49;Tomo el tiempo de juego como momento independiente de tareas escolares.;;4;5;4-5;4;admin
1541;50;Identifico técnicas de ex presión corporal que llevan a la regulación emocional en situaciones  de juego y actividad física.;;4;5;4-5;4;admin
1542;50;Reconozco y ejecuto danzas y prácticas lúdicas de tradición regional con lenguaje verbal y no verbal.;;4;5;4-5;4;admin
1543;50;Reconozco movimientos que se ajusten al ritmo musical.;;4;5;4-5;4;admin
1544;50;Realizo secuencias de movimientos con música, aplicando los tres ejes del cuerpo: adelante atrás, arriba- abajo, izquierda-derecha, de forma individual y grupal.;;4;5;4-5;4;admin
1545;50;Identifico cómo las emociones afectan mi cuerpo cuando estoy alegre, triste, deprimido, decaído u ofuscado.;;4;5;4-5;4;admin
1546;51;Reflexiono sobre la importancia de la actividad física para mi salud.;;4;5;4-5;4;admin
1547;51;Decido mí tiempo de juego y actividad física.;;4;5;4-5;4;admin
1548;51;Valoro mi capacidad para realizar actividad física adecuada con mis condiciones personales.;;4;5;4-5;4;admin
1549;51;Realizo actividad física actuando con respeto a mi cuerpo.;;4;5;4-5;4;admin
1550;51;Identifico el valor de la condición física y su importancia para mi salud.;;4;5;4-5;4;admin
1551;49;Relaciono las variaciones del crecimiento de mi cuerpo con la realización de movimientos.;;6;7;6-7;6;admin
1552;49;Combino diferentes movimientos técnicos en la realización de prácticas deportivas.;;6;7;6-7;6;admin
1553;49;Comprendo los conceptos de las pruebas que miden mi capacidad física y hago aplicación de ellas.;;6;7;6-7;6;admin
1554;49;Interpreto situaciones de juego y propongo diversas soluciones.;;6;7;6-7;6;admin
1555;49;Controlo el movimiento en diversos espacios, al desplazarme y manipular objetos.;;6;7;6-7;6;admin
1556;49;Reconozco mis fortalezas y limitaciones en la exploración de modalidades gimnásticas.;;6;7;6-7;6;admin
1557;49;Comprendo los conceptos de las capacidades físicas, al participar en actividades propias de cada una de ellas.;;6;7;6-7;6;admin
1558;49;Comprendo la importancia de las reglas para el desarrollo del juego.;;6;7;6-7;6;admin
1559;49;Realizo secuencias de movimiento con duración y cadencia preestablecidas.;;6;7;6-7;6;admin
1560;49;Combino técnicas de tensión-relajación y control corporal.;;6;7;6-7;6;admin
1561;49;Reconozco procedimientos para realizar el calentamiento y recuperación en la actividad física.;;6;7;6-7;6;admin
1562;49;Contribuyo a la conformación equitativa de los grupos de juego.;;6;7;6-7;6;admin
1563;49;Comprendo los efectos fisiológicos de la respiración en el desarrollo de la actividad física.;;6;7;6-7;6;admin
1564;49;Identifico tácticas a partir de la práctica deportiva y sus reglas.;;6;7;6-7;6;admin
1565;49;Relaciono la práctica de la actividad física y los hábitos saludables.;;6;7;6-7;6;admin
1566;49;Organizo juegos para desarrollar en la clase.;;6;7;6-7;6;admin
1567;49;Perfecciono posturas corporales propias de las técnicas de movimiento.;;6;7;6-7;6;admin
1568;49;Practico elementos de actividades físicas alternativas o contemporáneas.;;6;7;6-7;6;admin
1569;49;Comprendo y practico la relación entre actividad física y recuperación en la realización de los ejercicios físicos.;;6;7;6-7;6;admin
1570;49;Soy tolerante ante las diferentes circunstancias que me presenta el juego para contribuir a su  desarrollo.;;6;7;6-7;6;admin
1571;50;Comprendo diferentes técnicas de expresión corporal para la manifestación de mis emociones en situaciones de juego y actividad física.;;6;7;6-7;6;admin
1572;50;Comparo y ejecuto danzas y prácticas lúdicas de tradición regional.;;6;7;6-7;6;admin
1573;50;Ajusto mis movimientos al movimiento de mis compañeros y al ritmo de la música.;;6;7;6-7;6;admin
1574;50;Participo en bailes folclóricos y modernos, siguiendo pasos o coreo grafías.;;6;7;6-7;6;admin
1575;50;Relaciono mis emociones con estados fisiológicos de mi cuerpo (sudoración, agitación, alteraciones de la frecuencia cardiaca y respiratoria).;;6;7;6-7;6;admin
1576;51;Comprendo que la práctica física se refleja en mi calidad de vida.;;6;7;6-7;6;admin
1577;51;Comprendo la importancia de mi tiempo para la actividad física y el juego.;;6;7;6-7;6;admin
1578;51;Identifico mis fortalezas y debilidades en la actividad física, para lograr mis metas y conservar la salud.;;6;7;6-7;6;admin
1579;51; Aplico las variables: tipo de ejercicio, duración, intensidad frecuencia, indicaciones y contraindicaciones en la práctica del ejercicio físico.;;6;7;6-7;6;admin
1580;51;Procuro cuidar mi postura en la práctica de la actividad física y la vida cotidiana.;;6;7;6-7;6;admin
1581;49;Reconozco que el movimiento incide en mi desarrollo corporal.;;8;9;8-9;8;admin
1582;49;Domino la ejecución de formas técnicas de movimiento de diferentes prácticas motrices y deportivas.;;8;9;8-9;8;admin
1583;49;Relaciono los resultados de pruebas físicas de años anteriores, con el fin de mejorarlas.;;8;9;8-9;8;admin
1584;49;Decido las acciones más efectivas para resolver las diversas situaciones del juego.;;8;9;8-9;8;admin
1585;49;Selecciono movimientos de desplazamiento y manipulación.;;8;9;8-9;8;admin
1586;49;Selecciono modalidades gimnásticas para la realización de esquemas de movimiento.;;8;9;8-9;8;admin
1587;49;Identifico métodos para el desarrollo de cada una de mis capacidades físicas y los aplico.;;8;9;8-9;8;admin
1588;49;Apropio las reglas de juego y las modifico, si es necesario.;;8;9;8-9;8;admin
1589;49;Combino movimientos con uso de elementos, al oír una melodía musical.;;8;9;8-9;8;admin
1590;49;Selecciono técnicas de tensión y relajación de control corporal.;;8;9;8-9;8;admin
1591;49;Comprendo las razones biológicas del calentamiento y recuperación y las aplico.;;8;9;8-9;8;admin
1592;49;Establezco relaciones de empatía con los compañeros para preservar el momento de juego.;;8;9;8-9;8;admin
1593;49;Controlo la respiración y la relajación en situaciones de actividad física.;;8;9;8-9;8;admin
1594;49;Comprendo las exigencias técnicas y tácticas en la práctica de deportes individuales y de conjunto.;;8;9;8-9;8;admin
1595;49;Comprendo la importancia de la actividad física para una vida saludable.;;8;9;8-9;8;admin
1596;49;Selecciono actividades para mi tiempo de ocio.;;8;9;8-9;8;admin
1597;49;Cuido mi postura corporal desde principios anatómicos en la realización de movimientos.;;8;9;8-9;8;admin
1598;49;Ejercito técnicas de actividades físicas alternativas, en buenas condiciones de seguridad.;;8;9;8-9;8;admin
1599;49;Aplico procedimientos de actividad física y pausas de descanso para controlar la fatiga en la realización de actividades físicas.;;8;9;8-9;8;admin
1600;49;Comprendo las características del juego y las pongo en práctica para su realización.;;8;9;8-9;8;admin
1601;50;Selecciono técnicas de expresión corporal para la manifestación y el control de mis emociones, en situaciones de juego y actividad física.;;8;9;8-9;8;admin
1602;50;Participo en la ejecución y organización de muestras de danzas regionales colombianas.;;8;9;8-9;8;admin
1603;50;Propongo secuencias de movimiento con mis compañeros, que se ajusten a la música.;;8;9;8-9;8;admin
1604;50;Realizo danzas teniendo en cuenta el uso de coreografías y planimetrías.;;8;9;8-9;8;admin
1605;50;Logro manejar los estados de ansiedad, usando técnicas de respiración y relajación.;;8;9;8-9;8;admin
1606;51;Selecciono actividades físicas para la conservación de mi salud.;;8;9;8-9;8;admin
1607;51;Reconozco el valor que tiene el juego y la actividad física como parte de mi formación.;;8;9;8-9;8;admin
1608;51;Reconozco mis potencialidades para realizar actividad física orienta da hacia mi salud.;;8;9;8-9;8;admin
1609;51;Reconozco el estado de mi condición física, interpretando los resultados de pruebas específicas para ello.;;8;9;8-9;8;admin
1610;51;Me preocupo por la formación de hábitos de postura e higiene corporal.;;8;9;8-9;8;admin
1611;49;Selecciono técnicas de movimiento para mi proyecto de actividad física.;;10;11;10-11;10;admin
1612;49;Perfecciono la calidad de ejecución de formas técnicas en diferentes prácticas deportivas y motrices.;;10;11;10-11;10;admin
1613;49;Planifico el mejora miento de mi condición física a partir de la actualización de mi ficha de evaluación.;;10;11;10-11;10;admin
1614;49;Elaboro estrategias para hacer más eficiente el juego.;;10;11;10-11;10;admin
1615;49;Ejecuto con calidad secuencias de movimiento con elementos y obstáculos.;;10;11;10-11;10;admin
1616;49;Presento composiciones gimnásticas, aplicando técnicas de sus diferentes modalidades.;;10;11;10-11;10;admin
1617;49;Elaboro mi plan de condición física teniendo en cuenta fundamentos fisiológicos, técnicos y metodológicos.;;10;11;10-11;10;admin
1618;49;Participo en la organización de los juegos de la institución, estableciendo acuerdos para su desarrollo.;;10;11;10-11;10;admin
1619;49;Diseño y realizo es quemas de movimiento atendiendo a la precisión de un apoyo rítmico musical y de tiempo de ejecución.;;10;11;10-11;10;admin
1620;49;Aplico a mi vida cotidiana prácticas corporales alternativas.;;10;11;10-11;10;admin
1621;49;Decido sobre los procedimientos y actividades de calentamiento y recuperación y los aplico.;;10;11;10-11;10;admin
1622;49;Conformo equipos de juego para participar en diversos eventos y contextos.;;10;11;10-11;10;admin
1623;49;Utilizo técnicas respiratorias y de relajación en la actividad física.;;10;11;10-11;10;admin
1624;49;Domino técnicas y tácticas de prácticas deportivas.;;10;11;10-11;10;admin
1625;49;Aplico en mi vida cotidiana prácticas de actividad física y hábitos saludables.;;10;11;10-11;10;admin
1626;49;Valoro el tiempo de ocio para mi formación y tomo el juego como una alternativa importante.;;10;11;10-11;10;admin
1627;49;Aplico técnicas de movimiento para mejorar mi postura corporal.;;10;11;10-11;10;admin
1628;49;Realizo actividades físicas alternativas siguiendo parámetros técnicos, físicos, de seguridad y ecológicos.;;10;11;10-11;10;admin
1629;49;Aplico mis conocimientos sobre la relación actividad física pausa-actividad física, en mi plan de condición física.;;10;11;10-11;10;admin
1630;49;Asumo con autonomía y compromiso propio, o con los compañeros, las decisiones sobre el momento de juego.;;10;11;10-11;10;admin
1631;50;Oriento el uso de técnicas de expresión corporal para el control emocional de mis compañeros, en situaciones de juego y actividad física.;;10;11;10-11;10;admin
1632;50;Realizo montajes de danzas y prácticas lúdicas de la diversidad colombiana.;;10;11;10-11;10;admin
1633;50;Realizo coreografías individuales y colectivas con el uso de diferentes ritmos musicales.;;10;11;10-11;10;admin
1634;50;Elaboro un montaje que combine danza- representación, determinando coreografía y  planimetría.;;10;11;10-11;10;admin
1635;50;Uso técnicas de expresión corporal y relajación para controlar y expresar mis emociones.;;10;11;10-11;10;admin
1636;51;Organizo mi plan de actividad física, de acuerdo con mis intereses y concepción sobre salud y calidad de vida.;;10;11;10-11;10;admin
1637;51;Concientizo a mis compañeros del buen uso del tiempo libre y el juego.;;10;11;10-11;10;admin
1638;51;Defino con precisión y autonomía mi proyecto personal de actividad física, salud y calidad de vida.;;10;11;10-11;10;admin
1639;51;Comprendo la relación entre salud y actividad física y desde ella realizo mi práctica.;;10;11;10-11;10;admin
1640;51;Cultivo hábitos de higiene postural, recogiendo y trasladando objeto.;;10;11;10-11;10;admin
