CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
1273;61;Identifica las características individuales de las personas;;1;3;1-3;1;admin
1274;61;Reconoce la familia como el núcleo de la comunidad.;;1;3;1-3;1;admin
1275;61;Práctica normas de comportamiento en el hogar y con los vecinos.;;1;3;1-3;1;admin
1276;61;Reconoce cuál es el comportamiento que debe manifestar en los actos cívicos y culturales y a los símbolos patrios.;;1;3;1-3;1;admin
1277;61;Reconoce la importancia de tener una identidad cultural respetando a aquellos que son y piensan diferente.;;1;5;1-5;1;admin
1278;64;Identifica el concepto de  derechos y deberes y algunos que puede desarrollar como persona.;;1;3;1-3;1;admin
1279;60;Define qué son los valores, reconoce algunos de ellos y los practica su vida cotidiana;;1;3;1-3;1;admin
1280;63;Identifica qué es una comunidad, quienes la conforman y los deberes que tiene como miembro para convivir en paz.;;1;3;1-3;1;admin
1281;61;Reconoce la familia como el núcleo de la comunidad.;;1;3;1-3;1;admin
1282;63;Práctica los deberes que tenemos para con la patria. ;;1;3;1-3;1;admin
1283;63;Identifica y respeta los símbolos patrios.;;1;3;1-3;1;admin
1284;63;Reconoce el idioma y la religión que predominan en nuestro país respetando las diferencias sociales.;;1;3;1-3;1;admin
1285;57;Conoce la necesidad que tienen ser humano de vivir en comunidad para satisfacer sus necesidades.;;1;3;1-3;1;admin
1286;64;Identifica los derechos y deberes que tienen las personas de un grupo determinado;;1;3;1-3;1;admin
1287;60;Reconoce la importancia de manifestar los valores en su vida cotidiana para poder vivir en paz y felicidad.;;1;3;1-3;1;admin
1288;63;Identifica el concepto básico de comunidad para interactuar con relaciones de amistad y respetando las diferencias.;;1;3;1-3;1;admin
1289;65;Reconoce la familia como el grupo social más importante;;1;3;1-3;1;admin
1290;65;Reconoce el nombre, ubicación y símbolo de su institución educativa.;;1;3;1-3;1;admin
1291;61;Reconoce cuál es el comportamiento que debe manifestar en los actos cívicos y culturales y a los símbolos patrios.;;1;3;1-3;1;admin
1292;68;Demuestra interés por comportarse de la mejor manera en los diferentes lugares que frecuenta.;;1;3;1-3;1;admin
1293;65;Se expresa correctamente antes sus compañeros y  profesores.;;1;3;1-3;1;admin
1294;68;Práctica normas de comportamiento dentro y fuera de la institución.;;1;3;1-3;1;admin
1295;60;Reconoce el concepto de valores humanos.;;1;3;1-3;1;admin
1296;60;Reconoce la importancia de los valores humanos.;;1;3;1-3;1;admin
1297;60;Identifica los diferentes valores humanos que hay.;;1;3;1-3;1;admin
1298;58;Reconoce que manifestar tolerancia evita situaciones conflictivas.;;1;3;1-3;1;admin
1299;68;Reconoce la importancia de tener Don de gente para ser agradable en la sociedad.;;1;3;1-3;1;admin
1300;60;Identifica la importancia de las relaciones humanas para una convivencia pacífica.;;1;3;1-3;1;admin
1301;57;Reconoce la importancia del aseo personal y de portar bien el uniforme.;;1;3;1-3;1;admin
1302;63;Reconoce que los símbolos patrios forman parte de su identidad social y cultural y debe manifestar respeto por ellos.;;1;3;1-3;1;admin
1303;63;Reconoce algunas fechas de fiestas patrias.;;1;3;1-3;1;admin
1304;63;Identifica que Colombia es un estado social de derecho, organizado en forma de república.;;1;3;1-3;1;admin
1305;67;Reconoce la importancia de la Policía Nacional para garantizar los derechos de los niños, las niñas y los adolescentes.;;1;3;1-3;1;admin
1306;60;Reconoce el concepto de valores humanos.;;1;5;1-5;1;admin
1307;60;Reconoce la importancia de los valores humanos.;;1;5;1-5;1;admin
1308;60;Describe las características de los valores y vive de acuerdo con ellos.;;1;5;1-5;1;admin
1309;60;Reconoce la importancia de la convivencia pacífica.;;1;5;1-5;1;admin
1310;66;Identifica la importancia de manifestar autoestima y espíritu de superación.;;1;5;1-5;1;admin
1311;69;Reconoce la importancia del aseo personal y de portar bien el uniforme para manifestar una apariencia ordenada y agradable.;;1;5;1-5;1;admin
1312;61;Reconoce la importancia de tener una identidad cultural respetando a aquellos que son y piensan diferente.;;1;5;1-5;1;admin
1313;64;Identifica situaciones en las que se vulneran los derechos de los/as niños/as y contribuye a su protección y promoción en el medio escolar y familiar.;;1;5;1-5;1;admin
1314;61;Reconoce el significado y utilización de nuestros símbolos patrios.;;1;5;1-5;1;admin
1315;63;Identifica las instituciones y autoridades legales ante las cuales se puede pedir la defensa y protección de los derechos de los niños y demanda de ellas apoyo cuando lo requiere.;;1;5;1-5;1;admin
1316;60;Reconoce la importancia de establecer y cumplir normas para la convivencia en la familia, con su amigos/as y sus compañeros/as, y en el medio escolar. ;;1;5;1-5;1;admin
1317;64;Identifica los derechos y deberes que tienen las personas dentro de un grupo social.;;1;5;1-5;1;admin
1318;62;Reconoce el valor de escuchar y expresar libremente sus opiniones.;;1;5;1-5;1;admin
1319;60;Reconoce que son los valores, identifica algunos de ellos y los practica en su vida cotidiana.;;1;5;1-5;1;admin
1320;68;Descubre que en la vida diaria se dan momentos que nos  exigen obrar correctamente.;;1;5;1-5;1;admin
1321;59;"	Cultiva la autoestima para proyectar una buena expresión a los demás.";;1;5;1-5;1;admin
1322;57;Concientizarse en el buen uso de la auto superación  a través de los buenos hábitos personales.;;1;5;1-5;1;admin
1323;68;Reconoce que es necesario mantener un buen comportamiento en diferentes lugares en que se encuentra.;;1;5;1-5;1;admin
1324;64;Reconoce la existencia de múltiples diferencias entre los seres humanos y comprende que esas diferencias representan una oportunidad para construir nuevos conocimientos y nuevas formas de relación.;;1;5;1-5;1;admin
1325;67;Define los conceptos de ética, moral y valores y tiene en cuenta los principios básicos para conservar la moral.;;1;7;1-7;1;admin
1326;60;Toma conciencia que el bien común depende de la contribución que todos y cada uno aportemos en la convivencia humana.;;1;7;1-7;1;admin
1327;62;Reconoce que los derechos se basan en que todos los seres humanos somos en esencia iguales aún cuando cada persona sea diferente en su forma de ser y vivir.;;1;7;1-7;1;admin
1328;58;Respeta y defiende las libertades de las personas en su medio escolar o en su comunidad tales como la libertad de expresión, de conciencia, de pensamiento, de culto y del libre desarrollo de la personalidad.;;1;7;1-7;1;admin
1329;64;Reconoce la importancia de tomar decisiones con responsabilidad.;;1;7;1-7;1;admin
1330;64;Reconoce los pasos que hay que dar para lograr las metas y la importancia que tiene el auto concepto y la autoestima.;;1;7;1-7;1;admin
1331;67;Identifica  y rechaza las situaciones en que se vulneran los derechos fundamentales de las personas en su medio escolar y comunitario.;;1;7;1-7;1;admin
1332;65;Responsabilizarse de tomar decisiones que afecten sus propios actos y el de los demás.;;1;7;1-7;1;admin
1333;65;Reconocer cuando es el tiempo de hablar y de saber escuchar al comunicarse con los demás.;;1;7;1-7;1;admin
1334;59;Reconocerse como parte de un ecosistema natural y sociocultural que debe respetar y conservar.;;1;7;1-7;1;admin
1335;66;Construye un concepto de dignidad humana como base del respeto inherente a las personas.;;1;7;1-7;1;admin
1336;63;Reconoce y explica que el respeto es la base fundamental de la sociedad.;;1;7;1-7;1;admin
1337;60;Identifica las normas de convivencia que le permitirán vivir feliz y en paz.;;1;7;1-7;1;admin
1338;60;Reconoce y explica la importancia que tiene el que una persona desarrolle los valores que le permitirán vivir en paz en la sociedad. ;;1;7;1-7;1;admin
1339;68;Respeta los puntos de vista de las demás personas y los sentimientos y pensamientos expresados por otro.;;1;7;1-7;1;admin
1340;64;Comprende cómo se sienten las personas a quienes no se les respetan sus libertades o derechos fundamentales.;;1;7;1-7;1;admin
1341;57;Identifica las características y etapas de la sexualidad y asume una posición responsable frente a ella.;;1;7;1-7;1;admin
1342;63;Toma una posición crítica y actúa con independencia frente a situaciones en las cuales favorecer a personas de diferente antecedentes.;;1;7;1-7;1;admin
1343;64;Comparte y dialoga en familia para cumplir con  el papel que le corresponde vs.;;1;7;1-7;1;admin
1344;64;Se reconozca a sí mismo como persona, el cual posee razón, afectividad y responsabilidad ante los demás;;1;7;1-7;1;admin
1345;59;Reconocerse como parte de un ecosistema natural y sociocultural o humano.;;1;7;1-7;1;admin
1346;61;Define y distingue los conceptos de ética, moral, moralidad, normas y valores.;;1;9;1-9;1;admin
1347;60;Analizar y valorar las acciones, pensamientos y sentimientos expresados por otro.;;1;9;1-9;1;admin
1348;59;Describe sus rasgos personales y diseña su proyecto de vida.;;1;9;1-9;1;admin
1349;68;Reconoce la importancia de la familia en nuestra sociedad y en la formación de nuestra personalidad.;;1;9;1-9;1;admin
1350;65;Analiza y se involucra en los deberes y derechos de la familia como parte de su responsabilidad personal.;;1;9;1-9;1;admin
1351;67;Participa activamente en los debates acerca de la drogadicción y el alcoholismo.;;1;9;1-9;1;admin
1352;67;Comprende y analiza que el alcoholismo y la drogadicción son perjudiciales para la salud.;;1;9;1-9;1;admin
1353;58;Expresa lo que piensa y siente respetando el punto de vista de las demás personas.;;1;9;1-9;1;admin
1354;57;Reconoce que las actividades recreativas y los juegos también tienen normas y reglas que cumplir.;;1;9;1-9;1;admin
1355;57;Expresa lo que piensa respetando el punto de vista de las demás personas.;;1;9;1-9;1;admin
1356;67;Construir relaciones pacíficas en su vida cotidiana y contribuye a la convivencia en su comunidad o municipio. ;;1;9;1-9;1;admin
1357;67;Rechazar las distintas situaciones de discriminación y exclusión social en el país y comprende sus posibles causas y las consecuencias negativas para la sociedad.;;1;9;1-9;1;admin
1358;67;Comprende que la discriminación y la exclusión social pueden tener consecuencias negativas como la desintegración de las relaciones entre personas o grupos, la pobreza o la violencia.;;1;9;1-9;1;admin
1359;63;Analizar como en nuestro entorno existen personas vulnerables debido a sus condiciones económicas, sociales, sexuales, de fenotipo y otras, por ejemplo: mujeres, homosexuales, afrodescendientes, pueblos indígenas y personas discapacitadas.;;1;9;1-9;1;admin
1360;63;Analizar críticamente la situación de los derechos humanos en Colombia y en el mundo y propone alternativas de acción para su promoción y su defensa. ;;1;9;1-9;1;admin
1361;69;Analiza y valora las acciones los, pensamientos y sentimientos expresados por otros.;;1;9;1-9;1;admin
1362;60;Vivencia valores de responsabilidad, solidaridad y compromiso ante sus compañeros.;;1;9;1-9;1;admin
1363;65;Determinar la importancia de la comunicación en el desarrollo cultural, económico y social de una comunidad.;;1;9;1-9;1;admin
1364;65;Reconoce el Valor social de la palabra como instrumento real de entendimiento y tolerancia.;;1;9;1-9;1;admin
1365;62;Reconoce y explica que la responsabilidad es importante en las personas para la convivencia sociedad.;;1;9;1-9;1;admin
1366;64;Reconoce y explicar que es drogadicción, alcoholismo y tabaquismo;;1;9;1-9;1;admin
1367;64;Discute las soluciones posibles al problema del incremento de la prostitución infantil.;;1;9;1-9;1;admin
1368;64;Comprende, analiza y sintetiza casos de maternidad y paternidad precoces.;;1;9;1-9;1;admin
1369;64;Asume con responsabilidad el ejercicio de la sexualidad.;;1;9;1-9;1;admin
1370;64;Comprende, analiza y sintetiza casos de maternidad y paternidad precoces.;;1;9;1-9;1;admin
1371;64;Asume con responsabilidad el ejercicio de la sexualidad.;;1;9;1-9;1;admin
1372;59;Preguntarse por las causas del deterioro ambiental, natural y Socioafectivo.;;1;9;1-9;1;admin
1373;59;Participar e involucrarse en los diversos espacios democráticos escolares.;;1;9;1-9;1;admin
1374;63;Rechazar las distintas situaciones de discriminación y exclusión social en el país y comprende sus posibles causas y las consecuencias negativas para la sociedad.;;1;9;1-9;1;admin
