CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
1641;52;Formulo nuevos problemas filosóficos a partir de los datos hallados en la experiencia.;;10;11;10-11;10;admin
1642;52;Propongo nuevas soluciones a problemas filosóficos ya conocidos.;;10;11;10-11;10;admin
1643;52;Formulo preguntas que promueven la discusión filosófica y generan nuevas preguntas filosóficas.;;10;11;10-11;10;admin
1644;52;Manejo conceptos, operaciones y principios lógicos.;;10;11;10-11;10;admin
1645;52;Propongo nuevas interpretaciones de textos filosóficos conocidos y de otras expresiones socio-culturales.;;10;11;10-11;10;admin
1646;70;Examino las razones de los demás y mis propias razones desde un punto de vista filosófico.;;10;11;10-11;10;admin
1647;70;Fomento la autonomía y la dignidad en busca de la emancipación.;;10;11;10-11;10;admin
1648;70;Justifico argumentativamente mis propias acciones.;;10;11;10-11;10;admin
1649;70;Selecciono la información recibida y establezco el carácter filosófico de sus fuentes.;;10;11;10-11;10;admin
1650;70;Tomo mis propias posiciones ante diversos puntos de vista filosóficos.;;10;11;10-11;10;admin
1651;71;Reconozco mis saberes previos y los desarrollo a partir de las discusiones filosóficas.;;10;11;10-11;10;admin
1652;71;Participó activamente en las discusiones filosóficas que tienen lugar en el aula.;;10;11;10-11;10;admin
1653;71;Argumento filosóficamente teniendo en cuenta la pluralidad de los interlocutores.;;10;11;10-11;10;admin
1654;71;Reconozco los contextos desde los cuales son formuladas las argumentaciones.;;10;11;10-11;10;admin
1655;71;Comunico adecuadamente mis ideas, emociones y expectativas en forma oral y escrita.;;10;11;10-11;10;admin
1656;53;Examino las razones de los demás y mis propias razones desde un punto de vista filosófico.;;10;11;10-11;10;admin
1657;53;Hago uso adecuado del lenguaje oral y escrito para promover la interacción social.;;10;11;10-11;10;admin
1658;53;Selecciono la información recibida y establezco el carácter filosófico de sus fuentes.;;10;11;10-11;10;admin
1659;53;Pongo en entredicho creencias y opiniones del sentido común para someterlas al examen filosófico.;;10;11;10-11;10;admin
1660;53;Articulo la filosofía con otras perspectivas disciplinarias en el tratamiento de los problemas filosóficos.;;10;11;10-11;10;admin
1661;54;Reconozco mis saberes previos y los desarrollo a partir de las discusiones filosóficas.;;10;11;10-11;10;admin
1662;54;Participo activamente en las discusiones filosóficas que tienen lugar en el aula.;;10;11;10-11;10;admin
1663;54;Comprendo que existen conocimientos valiosos que no son científicos.;;10;11;10-11;10;admin
1664;54;Reconozco los contextos desde los cuales son formuladas las argumentaciones.;;10;11;10-11;10;admin
1665;54;Demuestro enunciados filosóficos a partir de argumentos contrapuestos.;;10;11;10-11;10;admin
1666;70;Fomento el pensamiento divergente como expresión de la libertad.;;10;11;10-11;10;admin
1667;70;Formulo nuevos problemas filosóficos a partir de los datos hallados en la experiencia.;;10;11;10-11;10;admin
1668;70;Formulo preguntas que promueven la discusión filosófica y generan nuevas preguntas filosóficas.;;10;11;10-11;10;admin
1669;70;Me sobrepongo a condiciones adversas y busco mejores condiciones de vida para todos.;;10;11;10-11;10;admin
1670;70;Manejo conceptos, operaciones y principios lógicos.;;10;11;10-11;10;admin
1671;70;Reconozco y abstraigo formas estéticas presentes en la producción cultural.;;10;11;10-11;10;admin
1672;73;Examino las razones de los demás y mis propias razones desde un punto de vista filosófico.;;10;11;10-11;10;admin
1673;73;Fomento la autonomía y la dignidad en busca de la emancipación.;;10;11;10-11;10;admin
1674;73;Selecciono la información recibida y establezco el carácter filosófico de sus fuentes.;;10;11;10-11;10;admin
1675;73;Tomo mis propias posiciones ante diversos puntos de vista filosóficos.;;10;11;10-11;10;admin
1676;73;Pongo en entredicho creencias y opiniones del sentido común para someterlas al examen filosófico.;;10;11;10-11;10;admin
1677;74;Participó activamente en las discusiones filosóficas que tienen lugar en el aula.;;10;11;10-11;10;admin
1678;74;Argumento filosóficamente teniendo en cuenta la pluralidad de los interlocutores.;;10;11;10-11;10;admin
1679;74;Reconozco los contextos desde los cuales son formuladas las argumentaciones.;;10;11;10-11;10;admin
1680;74;Desde mi propia vivencia desarrollo un diálogo crítico con la tradición a partir de los textos filosóficos.;;10;11;10-11;10;admin
1681;74;Demuestro enuncia dos filosóficos a partir de argumentos contrapuestos.;;10;11;10-11;10;admin
1682;75;Concibo cursos inéditos de acción para transformar la realidad a partir de la filosofía.;;10;11;10-11;10;admin
1683;75;Fomento el pensamiento divergente como expresión de libertad.;;10;11;10-11;10;admin
1684;75;Formulo preguntas que promueven la discusión filosófica y generan nuevas preguntas filosóficas.;;10;11;10-11;10;admin
1685;75;Me sobrepongo acondiciones adversas y busco mejores condiciones de vida para todos.;;10;11;10-11;10;admin
1686;75;Reconozco y abstraigo formas estéticas presentes en la producción cultural.;;10;11;10-11;10;admin
1687;72;Examino las razones de los demás y mis propias razones des de un punto de vista filosófico.;;10;11;10-11;10;admin
1688;72;Fomento la autonomía y la dignidad en busca de la emancipación.;;10;11;10-11;10;admin
1689;72;Justifico argumentativamente mis propias acciones.;;10;11;10-11;10;admin
1690;72;Selecciono la información recibida y establezco el carácter filosófico de sus fuentes.;;10;11;10-11;10;admin
1691;72;Tomo mis propias posiciones ante di versos puntos de vista filosóficos.;;10;11;10-11;10;admin
