CONSECUTIVO;COMPONENTE;COMPETENCIA;ESTRATEGIA;GRADO INICIO;GRADO FINAL;GRUPO GRADO;GRADO UNICO;IDDOCENTE
2418;83;Reconoce al colegio como un refugio para de animales de la granja y animales silvestres. ;;0;0;0-0;0;admin
2419;83;Identifica procesos relacionados con siembra y cuidado de plantas.;;0;0;0-0;0;admin
2420;80;Reconoce las partes del cuerpo humano y sus funciones, avanzando en su representación.;;0;0;0-0;0;admin
2421;83;Explora el entorno, reconociendo seres vivos y comprendiendo instrucciones para su cuidado y protección.;;0;0;0-0;0;admin
2422;80;Compara características de los humanos con las de animales y plantas.;;0;0;0-0;0;admin
2423;83;Separa adecuadamente los desechos orgánicos e inorgánicos.;;0;0;0-0;0;admin
2424;80;Observa, reconoce y registra el estado del tiempo.;;0;0;0-0;0;admin
2425;80;Agrupa figuras geométricas teniendo en cuenta características como color, tamaño y forma.;;0;0;0-0;0;admin
2426;80;Se desplaza reconociendo y anticipando trayectorias.;;0;0;0-0;0;admin
2427;80;Avanza en el establecimiento de correspondencias entre los números y la cantidad que representan.;;0;0;0-0;0;admin
2428;84;Aporta en la construcción de acuerdos grupales.;;0;0;0-0;0;admin
2429;84;Reconoce normas básicas para la convivencia escolar.;;0;0;0-0;0;admin
2430;84;Avanza en la incorporación hábitos de aseo, orden y alimentación.;;0;0;0-0;0;admin
2431;84;Pide la palabra y espera su turno para participar de los diálogos.;;0;0;0-0;0;admin
2432;84;Empieza a reconocer la importancia de escuchar las intervenciones de profesores y compañeros(as).;;0;0;0-0;0;admin
2433;84;Muestra seguridad e independencia al desplazarse por el colegio.;;0;0;0-0;0;admin
2434;84;Avanza en el cuidado de sus pertenencias, usándolas adecuadamente y guardándolas cuando no las necesita.;;0;0;0-0;0;admin
2435;82;Participa en la fase de preparación del proyecto de investigación escolar, manifestando sus inquietudes e intereses.;;0;0;0-0;0;admin
2436;82;Participa en los diálogos, pidiendo la palabra y haciendo aportes pertinentes al tema abordado. ;;0;0;0-0;0;admin
2437;82;Escucha y disfruta la lectura de cuentos y otros textos.;;0;0;0-0;0;admin
2438;82;Reconoce y/o escribe su nombre y el de sus compañeros(as).;;0;0;0-0;0;admin
2439;82;Lee imágenes y describe características de éstas y otros objetos del entorno.;;0;0;0-0;0;admin
2440;82;Asocia imágenes con palabras.;;0;0;0-0;0;admin
