consecutivo;componente;competencia;estrategia;grado inicio;grado fin;grados;grado unico;usario
1105;30;Identifico y describo artefactos que se utilizan hoy y que no se empleaban en épocas pasadas.;;1;3;1-3;1;admin
1106;30;Identifico herramientas que, como extensión de partes de mi cuerpo, me ayudan a realizar tareas de transformación de materiales.;;1;3;1-3;1;admin
1107;30;Establezco semejanzas y diferencias entre artefactos y elementos naturales.;;1;3;1-3;1;admin
1108;30;Indico la importancia de algunos artefactos para la realización de diversas actividades humanas (por ejemplo, la red para la pesca y la rueda para el transporte).;;1;3;1-3;1;admin
1109;31;Observo, comparo y analizo los elementos de un artefacto para utilizarlo adecuadamente.;;1;3;1-3;1;admin
1110;31;Identifico y utilizo artefactos que facilitan mis actividades y satisfacen mis necesidades cotidianas (deportes, entretenimiento, salud, estudio, alimentación, comunicación, desplazamiento, entre otros).;;1;3;1-3;1;admin
1111;31;Clasifico y describo artefactos de mi entorno según sus características físicas, uso y procedencia.;;1;3;1-3;1;admin
1112;31;Establezco relaciones entre la materia prima y el procedimiento de fabricación de algunos productos de mi entorno.;;1;3;1-3;1;admin
1113;31;Identifico y utilizo algunos símbolos y señales cotidianos, particularmente los relacionados con la seguridad (tránsito, basuras, advertencias).;;1;3;1-3;1;admin
1114;31;Identifico la computadora como artefacto tecnológico para la información y la comunicación, y la utilizo en diferentes actividades.;;1;3;1-3;1;admin
1115;31;Comparo mi esquema de vacunación con el esquema establecido y explico su importancia.;;1;3;1-3;1;admin
1116;31;Identifico diferentes recursos naturales de mi entorno y los utilizo racionalmente.;;1;3;1-3;1;admin
1117;31;Manejo en forma segura instrumentos, herramientas y materiales de uso cotidiano, con algún propósito (recortar,  pegar, construir, pintar, ensamblar).;;1;3;1-3;1;admin
1118;32;Selecciono entre los diversos artefactos disponibles aquellos que son más adecuados para realizar tareas cotidianas en el hogar y la escuela, teniendo en cuenta sus restricciones y condiciones de utilización.;;1;3;1-3;1;admin
1119;32;Detecto fallas simples en el funcionamiento de algunos artefactos sencillos, actúo de manera segura frente a ellos e informo a los adultos mis observaciones.;;1;3;1-3;1;admin
1120;32;Indago cómo están construidos y cómo funcionan algunos artefactos de uso cotidiano.;;1;3;1-3;1;admin
1121;32;Utilizo diferentes expresiones para describir la forma y el funcionamiento de algunos artefactos.;;1;3;1-3;1;admin
1122;32;Ensamblo y desarmo artefactos y dispositivos sencillos siguiendo instrucciones gráficas.;;1;3;1-3;1;admin
1123;32;Comparo longitudes, magnitudes y cantidades en el armado y desarmado de artefactos y dispositivos sencillos.;;1;3;1-3;1;admin
1124;32;Reflexiono sobre mi propia actividad y sobre los resultados de mi trabajo mediante descripciones, comparaciones, dibujos, mediciones y explicaciones.;;1;3;1-3;1;admin
1125;33;Manifiesto interés por temas relacionados con la tecnología a través de preguntas e intercambio de ideas.;;1;3;1-3;1;admin
1126;33;Indago sobre el uso de algunos materiales a través de la historia y sus efectos en los estilos de vida.;;1;3;1-3;1;admin
