Consecutivo;estandar;competencia;estrategia;grado inicio;gradofinal;grados;grado unico;iddocente
1;25;Reconozco cuando me hablan en inglés y reacciono de manera verbal y no verbal.;;1;3;1-3;1;admin
2;25;Entiendo cuando me saludan y se despiden de mí.;;1;3;1-3;1;admin
3;25;Sigo instrucciones relacionadas con actividades de clase y recreativas propuestas por mi Profesor;;1;3;1-3;1;admin
4;25;Comprendo canciones, rimas y rondas infantiles, y lo demuestro con gestos y movimientos.;;1;3;1-3;1;admin
5;25;Demuestro comprensión de preguntas sencillas sobre mí, mi familia y mi entorno.;;1;3;1-3;1;admin
6;25;Comprendo descripciones cortas y sencillas de objetos y lugares conocidos.;;1;3;1-3;1;admin
7;25;Identifico a las personas que participan en una conversación.;;1;3;1-3;1;admin
8;25;Sigo la secuencia de un cuento corto apoyado en imágenes.;;1;3;1-3;1;admin
9;25;Entiendo la idea general de una historia contada por mi profesor cuando se apoya en movimientos, gestos y cambios de voz.;;1;3;1-3;1;admin
10;25;Reconozco que hay otras personas como yo que se comunican en inglés.;;1;3;1-3;1;admin
11;25;Comprendo secuencias relacionadas con hábitos y rutinas.;;1;3;1-3;1;admin
12;26;Identifico palabras relacionadas entre sí sobre temas que me son familiares.;;1;3;1-3;1;admin
13;26;Reconozco palabras y frases cortas en inglés en libros, objetos, juguetes, propagandas y lugares de mi escuela.;;1;3;1-3;1;admin
14;26;Relaciono ilustraciones con oraciones simples.;;1;3;1-3;1;admin
15;26;Reconozco y sigo instrucciones sencillas, si están ilustradas.;;1;3;1-3;1;admin
16;26;Puedo predecir una historia a partir del título, las ilustraciones y las palabras clave.;;1;3;1-3;1;admin
17;26;Sigo la secuencia de una historia sencilla.;;1;3;1-3;1;admin
18;26;Utilizo diagramas para organizar la información de cuentos cortos leídos en clase.;;1;3;1-3;1;admin
19;26;Disfruto la lectura como una actividad de esparcimiento que me ayuda a descubrir el mundo.;;1;3;1-3;1;admin
20;27;Copio y transcribo palabras que comprendo y que uso con frecuencia en el salón de clase.;;1;3;1-3;1;admin
21;27;Escribo el nombre de lugares y elementos que reconozco en una ilustración.;;1;3;1-3;1;admin
22;27;Respondo brevemente a las preguntas “qué, quién, cuándo y dónde”, si se refieren a mi familia, mis amigos o mi colegio.;;1;3;1-3;1;admin
23;27;Escribo información personal en formatos sencillos.;;1;3;1-3;1;admin
24;27;Escribo mensajes de invitación y felicitación usando formatos sencillos.;;1;3;1-3;1;admin
25;27;Demuestro conocimiento de las estructuras básicas del inglés.;;1;3;1-3;1;admin
26;28;Recito y canto rimas, poemas y trabalenguas que comprendo, con ritmo y entonación adecuados.;;1;3;1-3;1;admin
27;28;Expreso mis sentimientos y estados de ánimo.;;1;3;1-3;1;admin
28;28;Menciono lo que me gusta y lo que no me gusta.;;1;3;1-3;1;admin
29;28;Describo lo que estoy haciendo.;;1;3;1-3;1;admin
30;28;Nombro algunas cosas que puedo hacer y que no puedo hacer.;;1;3;1-3;1;admin
31;28;Describo lo que hacen algunos miembros de mi comunidad.;;1;3;1-3;1;admin
32;28;Uso gestos y movimientos corporales para hacerme entender mejor.;;1;3;1-3;1;admin
33;28;Describo algunas características de mí mismo, de otras personas, de animales, de lugares y del clima.;;1;3;1-3;1;admin
34;28;"Participo en representaciones cortas; memorizo y comprendo los parlamentos.";;1;3;1-3;1;admin
35;28;Respondo a saludos y a despedidas.;;1;3;1-3;1;admin
36;28;Respondo a preguntas sobre cómo me siento.;;1;3;1-3;1;admin
37;28;Uso expresiones cotidianas para expresar mis necesidades inmediatas en el aula.;;1;3;1-3;1;admin
38;28;Utilizo el lenguaje no verbal cuando no puedo responder verbalmente a preguntas sobre mis preferencias. Por ejemplo, asintiendo o negando con la cabeza.;;1;3;1-3;1;admin
39;28;Expreso e indico necesidades personales básicas relacionadas con el aula.;;1;3;1-3;1;admin
40;28;Respondo a preguntas sobre personas, objetos y lugares de mi entorno.;;1;3;1-3;1;admin
41;28;Pido que me repitan el mensaje cuando no lo comprendo.;;1;3;1-3;1;admin
42;28;Participo activamente en juegos de palabras y rondas.;;1;3;1-3;1;admin
43;28;Refuerzo con gestos lo que digo para hacerme entender.;;1;3;1-3;1;admin
44;25;Sigo atentamente lo que dicen mi profesor y mis compañeros durante un juego o actividad.;;4;5;4-5;4;admin
45;25;Participo en juegos y actividades siguiendo instrucciones simples.;;4;5;4-5;4;admin
46;25;Identifico los nombres de los personajes y los eventos principales de un cuento leído por el profesor y apoyado en imágenes, videos o cualquier tipo de material visual.;;4;5;4-5;4;admin
47;25;Reconozco algunos estados de ánimo a través del tono o volumen de voz en una historia leída por el profesor o en una grabación.;;4;5;4-5;4;admin
48;25;Identifico de quién me hablan a partir de su descripción física.;;4;5;4-5;4;admin
49;25;Comprendo información personal proporcionada por mis compañeros y mi profesor.;;4;5;4-5;4;admin
50;25;Identifico objetos, personas y acciones que me son conocidas en un texto descriptivo corto leído por el profesor.;;4;5;4-5;4;admin
51;25;Identifico la secuencia de las acciones y las asocio con los momentos del día, cuando alguien describe su rutina diaria.;;4;5;4-5;4;admin
52;25;Memorizo y sigo el ritmo de canciones populares de países angloparlantes.;;4;5;4-5;4;admin
53;26;Asocio un dibujo con su descripción escrita.;;4;5;4-5;4;admin
54;26;Comprendo descripciones cortas sobre personas, lugares y acciones conocidas.;;4;5;4-5;4;admin
55;26;Ubico en un texto corto los lugares y momentos en que suceden las acciones.;;4;5;4-5;4;admin
56;26;Identifico las acciones en una secuencia corta de eventos.;;4;5;4-5;4;admin
57;26;Utilizo gráficas para representar la información más relevante de un texto.;;4;5;4-5;4;admin
58;26;Utilizo el diccionario como apoyo a la comprensión de textos.;;4;5;4-5;4;admin
59;26;Identifico elementos culturales como nombres propios y lugares, en textos sencillos.;;4;5;4-5;4;admin
60;26;Leo y entiendo textos auténticos y sencillos sobre acontecimientos concretos asociados a tradiciones culturales que conozco (cumpleaños, navidad, etc.).;;4;5;4-5;4;admin
61;26;Reconozco, en un texto narrativo corto, aspectos como qué, quién, cuándo y dónde.;;4;5;4-5;4;admin
62;26;Participo en juegos de búsqueda de palabras desconocidas.;;4;5;4-5;4;admin
63;27;Escribo sobre temas de mi interés.;;4;5;4-5;4;admin
64;27;Escribo descripciones y narraciones cortas basadas en una secuencia de ilustraciones.;;4;5;4-5;4;admin
65;27;Escribo tarjetas con mensajes cortos de felicitación o invitación.;;4;5;4-5;4;admin
66;27;Describo los rasgos personales de gente de mi entorno.;;4;5;4-5;4;admin
67;27;Enlazo frases y oraciones usando conectores que expresan secuencia y adición.;;4;5;4-5;4;admin
68;27;Escribo textos cortos que describen mi estado de ánimo y mis preferencias.;;4;5;4-5;4;admin
69;27;Uso adecuadamente estructuras y patrones gramaticales de uso frecuente.;;4;5;4-5;4;admin
70;27;Verifico la ortografía de las palabras que escribo con frecuencia.;;4;5;4-5;4;admin
71;27;Escribo pequeñas historias que me imagino.;;4;5;4-5;4;admin
72;28;Me describo a mí o a otra persona conocida, con frases simples y cortas, teniendo en cuenta su edad y sus características físicas.;;4;5;4-5;4;admin
73;28;Uso oraciones cortas para decir lo que puedo o no puedo hacer.;;4;5;4-5;4;admin
74;28;Deletreo palabras que me son conocidas.;;4;5;4-5;4;admin
75;28;Expreso en una palabra o frase corta, cómo me siento.;;4;5;4-5;4;admin
76;28;Digo un texto corto memorizado en una dramatización, ayudándome con gestos.;;4;5;4-5;4;admin
77;28;Describo con oraciones simples el clima y determino la ropa necesaria, según corresponda.;;4;5;4-5;4;admin
78;28;Recito un trabalenguas sencillo o una rima, o canto el coro de una canción.;;4;5;4-5;4;admin
79;28;Hablo de las actividades que realizo habitualmente.;;4;5;4-5;4;admin
80;28;Busco oportunidades para usar lo que sé en inglés.;;4;5;4-5;4;admin
81;28;Puedo hablar de cantidades y contar objetos hasta mil.;;4;5;4-5;4;admin
82;28;Respondo a preguntas personales como nombre, edad, nacionalidad y dirección, con apoyo de repeticiones cuando sea necesario.;;4;5;4-5;4;admin
83;28;Puedo saludar de acuerdo con la hora del día, de forma natural y apropiada.;;4;5;4-5;4;admin
84;28;Saludo cortésmente de acuerdo con la edad y rango del interlocutor.;;4;5;4-5;4;admin
85;28;Solicito a mi profesor y a mis compañeros que me aclaren una duda o me expliquen algo sobre lo que hablamos.;;4;5;4-5;4;admin
86;28;Pido y acepto disculpas de forma simple y cortés.;;4;5;4-5;4;admin
87;28;Sigo y doy instrucciones básicas cuando participo en juegos conocidos.;;4;5;4-5;4;admin
88;28;Mantengo una conversación simple en inglés con un compañero cuando desarrollo una actividad de aula.;;4;5;4-5;4;admin
89;28;Pregunto y respondo sobre las características físicas de objetos familiares.;;4;5;4-5;4;admin
90;28;Respondo preguntas sobre mis gustos y preferencias.;;4;5;4-5;4;admin
91;28;Puedo cortésmente llamar la atención de mi profesor con una frase corta.;;4;5;4-5;4;admin
92;25;Comprendo información básica sobre temas relacionados con mis actividades cotidianas y con mi entorno.;;6;7;6-7;6;admin
93;25;Comprendo preguntas y expresiones orales que se refieren a mí, a mi familia, mis amigos y mi entorno.;;6;7;6-7;6;admin
94;25;Comprendo mensajes cortos y simples relacionados con mi entorno y mis intereses personales y académicos.;;6;7;6-7;6;admin
95;25;Comprendo y sigo instrucciones puntuales cuando éstas se presentan en forma clara y con vocabulario conocido.;;6;7;6-7;6;admin
96;25;Comprendo una descripción oral sobre una situación, persona, lugar u objeto.;;6;7;6-7;6;admin
97;25;Identifico el tema general y los detalles relevantes en conversaciones, informaciones radiales o exposiciones orales.;;6;7;6-7;6;admin
98;25;Comprendo la idea general en una descripción y en una narración.;;6;7;6-7;6;admin
99;26;Comprendo instrucciones escritas para llevar a cabo actividades cotidianas, personales y académicas.;;6;7;6-7;6;admin
100;26;Comprendo textos literarios, académicos y de interés general, escritos con un lenguaje sencillo.;;6;7;6-7;6;admin
101;26;Puedo extraer información general y específica de un texto corto y escrito en un lenguaje sencillo.;;6;7;6-7;6;admin
102;26;Comprendo relaciones establecidas por palabras como and (adición), but (contraste), first, second... (orden temporal), en enunciados sencillos.;;6;7;6-7;6;admin
103;26;Valoro la lectura como un hábito importante de enriquecimiento personal y académico.;;6;7;6-7;6;admin
104;26;Identifico el significado adecuado de las palabras en el diccionario según el contexto.;;6;7;6-7;6;admin
105;26;Aplico estrategias de lectura relacionadas con el propósito de la misma.;;6;7;6-7;6;admin
106;26;Identifico en textos sencillos, elementos culturales como costumbres y celebraciones.;;6;7;6-7;6;admin
107;26;Identifico la acción, los personajes y el entorno en textos narrativos.;;6;7;6-7;6;admin
108;27;Describo con frases cortas personas, lugares, objetos o hechos relacionados con temas y situaciones que me son familiares.;;6;7;6-7;6;admin
109;27;Escribo mensajes cortos y con diferentes propósitos relacionados con situaciones, objetos o personas de mi entorno inmediato.;;6;7;6-7;6;admin
110;27;Completo información personal básica en formatos y documentos sencillos.;;6;7;6-7;6;admin
111;27;Escribo un texto corto relativo a mí, a mi familia, mis amigos, mi entorno o sobre hechos que me son familiares.;;6;7;6-7;6;admin
112;27;Escribo textos cortos en los que expreso contraste, adición, causa y efecto entre ideas.;;6;7;6-7;6;admin
113;27;Utilizo vocabulario adecuado para darle coherencia a mis escritos.;;6;7;6-7;6;admin
114;28;Describo con oraciones simples a una persona, lugar u objeto que me son familiares aunque, si lo requiero, me apoyo en apuntes o en mi profesor.;;6;7;6-7;6;admin
